id,displayName,classType,preferredRewardItemId,preferredItemState,faceSpriteId,bodySpriteId,weaponSpriteId,viceId
1,Vaelor Ashfen,Warrior,chair_leg,Upgraded,face_1,body_1,weapon_1,
2,Mordren Blacktallow,Archer,table_leg,Burned,face_2,body_2,weapon_2,
3,Elswyth Crowmire,Whitch,Metal pipe,Frozen,face_3,body_3,weapon_3,
4,Kaelric Voss,Warrior,butter_knife,Painted,face_4,body_4,weapon_4,
5,Thorne Veyr,Archer,table_body,Poisoned,face_1,body_1,weapon_1,
6,Mirelda Gallowglass,Whitch,bowl,Sharpened,face_2,body_2,weapon_2,
7,Osric Duskmarrow,Warrior,food_plate,Upgraded,face_3,body_3,weapon_3,
8,Savaine Rotwick,Archer,spiked_club,Burned,face_4,body_4,weapon_4,
9,Edran Hollowmere,Whitch,slipper,Frozen,face_1,body_1,weapon_1,
10,Ysara Blackbriar,Warrior,bar_keg,Painted,face_2,body_2,weapon_2,
11,Bramund Saltvein,Archer,stick,Poisoned,face_3,body_3,weapon_3,
12,Morwenna Gravefen,Whitch,chair_base,Sharpened,face_4,body_4,weapon_4,
13,Corveth Mourn,Warrior,table_body,Upgraded,face_1,body_1,weapon_1,
14,Halric Thornvale,Archer,leather_shoe,Burned,face_2,body_2,weapon_2,
15,Veyla Redmire,Whitch,beer_cup,Frozen,face_3,body_3,weapon_3,
16,Aldric Cinderwold,Warrior,chair_leg,Painted,face_4,body_4,weapon_4,
17,Nyssara Wyrmroot,Archer,table_leg,Poisoned,face_1,body_1,weapon_1,
18,Garrik Paleharth,Whitch,Metal pipe,Sharpened,face_2,body_2,weapon_2,
19,Odran Knell,Warrior,butter_knife,Upgraded,face_3,body_3,weapon_3,
20,Maerith Ashwine,Archer,table_body,Burned,face_4,body_4,weapon_4,
21,Fenric Toadmarsh,Whitch,bowl,Frozen,face_1,body_1,weapon_1,
22,Ilyra Crowveil,Warrior,food_plate,Painted,face_2,body_2,weapon_2,
23,Dainor Harrowmere,Archer,spiked_club,Poisoned,face_3,body_3,weapon_3,
24,Selwyn Gravetide,Whitch,slipper,Sharpened,face_4,body_4,weapon_4,
25,Marzeth Lowwick,Warrior,bar_keg,Upgraded,face_1,body_1,weapon_1,
26,Evelra Mothborne,Archer,stick,Burned,face_2,body_2,weapon_2,
27,Torvian Pike,Whitch,chair_base,Frozen,face_3,body_3,weapon_3,
28,Cassira Mirethorn,Warrior,table_body,Painted,face_4,body_4,weapon_4,
29,Ulven Kross,Archer,leather_shoe,Poisoned,face_1,body_1,weapon_1,
30,Hestara Crickshade,Whitch,beer_cup,Sharpened,face_2,body_2,weapon_2,
31,Godric Ruskbane,Warrior,chair_leg,Upgraded,face_3,body_3,weapon_3,
32,Lioren Sablemere,Archer,table_leg,Burned,face_4,body_4,weapon_4,
33,Cerdan Mottwick,Whitch,Metal pipe,Frozen,face_1,body_1,weapon_1,
34,Rowenna Duskwren,Warrior,butter_knife,Painted,face_2,body_2,weapon_2,
35,Jorveth Flintmarrow,Archer,table_body,Poisoned,face_3,body_3,weapon_3,
36,Sabethra Gloomvale,Whitch,bowl,Sharpened,face_4,body_4,weapon_4,
37,Halvorn Crowhurst,Warrior,food_plate,Upgraded,face_1,body_1,weapon_1,
38,Orlath Titheborne,Archer,spiked_club,Burned,face_2,body_2,weapon_2,
39,Jarevik Moldenroot,Whitch,slipper,Frozen,face_3,body_3,weapon_3,
40,Ysmira Blackfen,Warrior,bar_keg,Painted,face_4,body_4,weapon_4,
41,Rodovar Veilmark,Archer,stick,Poisoned,face_1,body_1,weapon_1,
42,Minthra Wretchwood,Whitch,chair_base,Sharpened,face_2,body_2,weapon_2,
43,Arveth Aldergrave,Warrior,table_body,Upgraded,face_3,body_3,weapon_3,
44,Lysara Gravewine,Archer,leather_shoe,Burned,face_4,body_4,weapon_4,
45,Ottovar Briarhand,Whitch,beer_cup,Frozen,face_1,body_1,weapon_1,
46,Serath Wickmere,Warrior,chair_leg,Painted,face_2,body_2,weapon_2,
47,Malrec Gorseveil,Archer,table_leg,Poisoned,face_3,body_3,weapon_3,
48,Dellwyn Knellroot,Whitch,Metal pipe,Sharpened,face_4,body_4,weapon_4,
49,Arven Mothwick,Warrior,butter_knife,Upgraded,face_1,body_1,weapon_1,
50,Ismara Cravenhollow,Archer,table_body,Burned,face_2,body_2,weapon_2,
51,Perrik Gallowfen,Whitch,bowl,Frozen,face_3,body_3,weapon_3,
52,Nadyra Thornwell,Warrior,food_plate,Painted,face_4,body_4,weapon_4,
53,Sylas Rookmere,Archer,spiked_club,Poisoned,face_1,body_1,weapon_1,
54,Mashka Redcap,Whitch,slipper,Sharpened,face_2,body_2,weapon_2,
55,Edovar Woldgrave,Warrior,bar_keg,Upgraded,face_3,body_3,weapon_3,
56,Varyn Marrowglass,Archer,stick,Burned,face_4,body_4,weapon_4,
57,Berric Shalewick,Whitch,chair_base,Frozen,face_1,body_1,weapon_1,
58,Helvra Krossmere,Warrior,table_body,Painted,face_2,body_2,weapon_2,
59,Wulfric Toadborne,Archer,leather_shoe,Poisoned,face_3,body_3,weapon_3,
60,Anselm Cinderveil,Whitch,beer_cup,Sharpened,face_4,body_4,weapon_4,
